accident_year,weekNum,count
1979,1,4864
1979,2,4925
1979,3,4462
1979,4,3816
1979,5,4398
1979,6,5032
1979,7,3701
1979,8,4143
1979,9,3992
1979,10,5175
1979,11,4650
1979,12,4678
1979,13,4198
1979,14,4195
1979,15,4797
1979,16,4234
1979,17,4509
1979,18,4230
1979,19,5388
1979,20,5016
1979,21,5118
1979,22,4100
1979,23,4964
1979,24,5377
1979,25,4967
1979,26,4447
1979,27,4900
1979,28,5668
1979,29,4817
1979,30,5128
1979,31,4447
1979,32,5357
1979,33,5258
1979,34,5117
1979,35,5115
1979,36,4861
1979,37,5942
1979,38,5650
1979,39,5327
1979,40,4407
1979,41,5645
1979,42,5402
1979,43,5166
1979,44,4618
1979,45,5059
1979,46,5595
1979,47,5511
1979,48,5449
1979,49,4669
1979,50,6067
1979,51,6488
1979,52,3928
1980,1,4879
1980,2,4552
1980,3,4512
1980,4,4989
1980,5,4166
1980,6,4763
1980,7,4351
1980,8,4333
1980,9,4170
1980,10,4729
1980,11,4617
1980,12,4422
1980,13,4806
1980,14,4423
1980,15,4966
1980,16,4341
1980,17,4514
1980,18,4199
1980,19,4743
1980,20,5577
1980,21,4678
1980,22,4424
1980,23,4595
1980,24,5311
1980,25,4971
1980,26,5110
1980,27,4779
1980,28,5121
1980,29,5083
1980,30,4936
1980,31,4522
1980,32,4539
1980,33,5267
1980,34,4809
1980,35,4982
1980,36,4192
1980,37,4775
1980,38,5265
1980,39,5123
1980,40,4422
1980,41,5169
1980,42,5487
1980,43,5597
1980,44,4927
1980,45,4865
1980,46,5644
1980,47,5268
1980,48,5227
1980,49,4609
1980,50,5246
1980,51,6174
1980,52,3789
1981,1,2184
1981,2,4701
1981,3,4924
1981,4,4456
1981,5,3864
1981,6,4626
1981,7,4912
1981,8,4200
1981,9,4094
1981,10,4702
1981,11,5020
1981,12,4571
1981,13,4657
1981,14,3919
1981,15,4933
1981,16,4721
1981,17,4362
1981,18,4221
1981,19,4672
1981,20,5126
1981,21,5144
1981,22,4502
1981,23,4655
1981,24,4929
1981,25,4784
1981,26,4694
1981,27,4431
1981,28,5071
1981,29,4845
1981,30,5230
1981,31,4756
1981,32,4499
1981,33,4799
1981,34,4961
1981,35,4894
1981,36,4982
1981,37,4908
1981,38,5594
1981,39,5735
1981,40,5096
1981,41,5019
1981,42,4861
1981,43,5538
1981,44,5647
1981,45,4822
1981,46,5069
1981,47,5927
1981,48,5571
1981,49,4832
1981,50,4471
1981,51,4031
1981,52,3465
1981,53,1649
1982,1,5162
1982,2,4250
1982,3,4697
1982,4,4033
1982,5,4477
1982,6,5229
1982,7,4048
1982,8,4656
1982,9,4260
1982,10,5236
1982,11,4726
1982,12,4555
1982,13,4158
1982,14,5205
1982,15,4521
1982,16,4606
1982,17,4552
1982,18,4893
1982,19,5400
1982,20,4997
1982,21,4857
1982,22,4559
1982,23,5048
1982,24,4957
1982,25,5331
1982,26,4617
1982,27,4787
1982,28,5423
1982,29,4999
1982,30,4780
1982,31,4976
1982,32,5777
1982,33,5069
1982,34,5191
1982,35,3948
1982,36,5392
1982,37,5039
1982,38,5803
1982,39,4581
1982,40,4692
1982,41,5644
1982,42,5484
1982,43,5035
1982,44,4421
1982,45,5509
1982,46,5683
1982,47,6352
1982,48,4892
1982,49,5212
1982,50,5673
1982,51,5070
1982,52,1915
1982,53,1630
1983,1,4653
1983,2,5064
1983,3,4237
1983,4,4566
1983,5,4258
1983,6,5213
1983,7,3810
1983,8,4081
1983,9,4038
1983,10,4795
1983,11,4637
1983,12,4633
1983,13,4587
1983,14,4440
1983,15,4650
1983,16,4654
1983,17,4511
1983,18,4579
1983,19,5270
1983,20,4628
1983,21,4804
1983,22,3987
1983,23,4851
1983,24,4770
1983,25,4746
1983,26,4623
1983,27,4804
1983,28,5088
1983,29,5004
1983,30,4858
1983,31,4454
1983,32,5361
1983,33,4862
1983,34,4470
1983,35,3808
1983,36,4914
1983,37,5474
1983,38,4948
1983,39,4423
1983,40,4611
1983,41,5536
1983,42,4933
1983,43,4691
1983,44,4431
1983,45,4256
1983,46,4610
1983,47,5825
1983,48,4284
1983,49,4682
1983,50,5324
1983,51,4959
1983,52,3181
1984,1,5101
1984,2,4885
1984,3,4440
1984,4,3973
1984,5,4748
1984,6,5281
1984,7,4110
1984,8,4079
1984,9,4308
1984,10,5158
1984,11,4057
1984,12,4267
1984,13,4823
1984,14,4610
1984,15,4617
1984,16,4196
1984,17,4696
1984,18,4244
1984,19,5033
1984,20,5069
1984,21,5243
1984,22,4355
1984,23,4790
1984,24,5313
1984,25,5125
1984,26,5055
1984,27,4538
1984,28,5267
1984,29,4867
1984,30,5097
1984,31,4072
1984,32,5251
1984,33,4625
1984,34,4715
1984,35,4853
1984,36,4604
1984,37,5679
1984,38,5413
1984,39,5035
1984,40,4846
1984,41,5202
1984,42,5271
1984,43,5731
1984,44,4754
1984,45,4839
1984,46,5659
1984,47,6069
1984,48,5529
1984,49,4607
1984,50,5636
1984,51,6096
1984,52,3352
1985,1,4719
1985,2,4537
1985,3,3229
1985,4,4699
1985,5,3972
1985,6,4846
1985,7,4412
1985,8,4269
1985,9,3663
1985,10,5379
1985,11,4626
1985,12,4162
1985,13,4478
1985,14,4420
1985,15,5320
1985,16,4256
1985,17,4402
1985,18,3984
1985,19,5619
1985,20,4740
1985,21,4867
1985,22,4387
1985,23,4964
1985,24,5503
1985,25,5138
1985,26,4801
1985,27,4349
1985,28,5412
1985,29,5260
1985,30,5050
1985,31,4482
1985,32,5401
1985,33,4813
1985,34,4966
1985,35,4578
1985,36,4370
1985,37,5456
1985,38,4845
1985,39,4922
1985,40,3900
1985,41,4688
1985,42,4653
1985,43,4685
1985,44,4715
1985,45,4806
1985,46,5807
1985,47,5538
1985,48,5331
1985,49,4474
