accident_year,weekNum,speed_limit
1983,44,37.13044459
1983,45,37.85361842
1983,46,37.29934924
1983,47,37.9023176
1983,48,36.79621849
1983,49,37.8776164
1983,50,37.55634861
1983,51,36.95301472
1983,52,37.92518076
1984,1,38.20427367
1984,2,37.98812692
1984,3,37.66103604
1984,4,37.83413038
1984,5,37.51579612
1984,6,38.23139557
1984,7,37.56690998
1984,8,37.55454768
1984,9,37.35724234
1984,10,37.98894921
1984,11,36.9842248
1984,12,37.5498008
1984,13,37.02052664
1984,14,37.51193059
1984,15,37.43556422
1984,16,37.80171592
1984,17,38.21337308
1984,18,36.91211122
1984,19,37.84720842
1984,20,37.49852042
1984,21,37.67976349
1984,22,37.42135476
1984,23,38.04551148
1984,24,38.09448522
1984,25,38.01073171
1984,26,37.33531157
1984,27,37.84266197
1984,28,38.66812227
1984,29,38.31107458
1984,30,38.39905827
1984,31,37.81925344
1984,32,38.70672253
1984,33,38.67027027
1984,34,38.55588547
1984,35,37.91778281
1984,36,37.7139444
1984,37,38.53055115
1984,38,38.40624423
1984,39,37.8510427
1984,40,37.70016508
1984,41,37.95905421
1984,42,37.68165434
1984,43,38.52730763
1984,44,37.91859487
1984,45,37.58317834
1984,46,37.64269306
1984,47,37.58493986
1984,48,37.47549286
1984,49,37.80442804
1984,50,37.35894251
1984,51,37.78871391
1984,52,38.85590692
1985,1,37.99237127
1985,2,38.34692528
1985,3,38.06906163
1985,4,38.04745691
1985,5,37.55941591
1985,6,38.30685101
1985,7,37.56233001
1985,8,37.92925744
1985,9,38.38247338
1985,10,37.48466258
1985,11,37.66212711
1985,12,37.87121576
1985,13,38.09959803
1985,14,37.43438914
1985,15,38.46428571
1985,16,37.65648496
1985,17,37.45229441
1985,18,37.89156627
1985,19,37.90532123
1985,20,37.90822785
1985,21,37.86007808
1985,22,38.18554821
1985,23,38.10233683
1985,24,38.28548065
1985,25,38.34371351
1985,26,38.37117267
1985,27,38.0248333
1985,28,38.51256467
1985,29,38.96197719
1985,30,38.97425743
1985,31,39.08746095
1985,32,38.246621
1985,33,39.42281321
1985,34,39.19351591
1985,35,38.69812145
1985,36,38.25057208
1985,37,38.22672287
1985,38,38.04024768
1985,39,38.35331166
1985,40,37.99487179
1985,41,38.59449659
1985,42,37.57790673
1985,43,37.26872999
1985,44,37.16967126
1985,45,38.2605077
1985,46,37.95591527
1985,47,37.72192127
1985,48,38.3305196
1985,49,37.44300402
1985,50,37.82198444
1985,51,37.64900168
1985,52,38.86873655
1986,1,38.16019744
1986,2,38.47843292
1986,3,37.66820276
1986,4,37.63894782
1986,5,37.49396533
1986,6,38.01359927
1986,7,38.26122354
1986,8,37.68468022
1986,9,37.1388035
1986,10,38.67178947
1986,11,38.00894378
1986,12,38.00860927
1986,13,38.91275465
1986,14,39.35393911
1986,15,38.30166033
1986,16,37.84665508
1986,17,37.8669168
1986,18,38.52075122
1986,19,38.81046294
1986,20,37.74005655
1986,21,38.09087205
1986,22,38.20975715
1986,23,38.78821201
1986,24,38.49835622
1986,25,38.34410935
1986,26,38.6060864
1986,27,37.84518272
1986,28,39.24389217
1986,29,38.75917768
1986,30,39.09819121
1986,31,38.23929961
1986,32,38.38689171
1986,33,38.87864366
1986,34,39.35981681
1986,35,39.55550651
1986,36,38.30859681
1986,37,38.32335947
1986,38,38.44133842
1986,39,38.31205367
1986,40,37.48770675
1986,41,38.63459038
1986,42,38.50627292
1986,43,38.81556096
1986,44,38.40470631
1986,45,37.99109083
1986,46,37.81519716
1986,47,38.10729838
1986,48,38.85178408
1986,49,38.03322491
1986,50,38.88857251
1986,51,38.75750653
1986,52,38.90550741
1987,1,38.63286881
1987,2,38.42066116
1987,3,39.81264368
1987,4,38.93798024
1987,5,37.83170732
1987,6,38.39185696
1987,7,38.12589019
1987,8,38.0218503
1987,9,38.41309824
1987,10,38.15174239
1987,11,38.01603395
1987,12,37.88965517
1987,13,38.23394495
1987,14,38.94400409
1987,15,38.67684954
1987,16,38.81661066
1987,17,38.39915021
1987,18,37.37879842
1987,19,39.03306301
1987,20,38.33954997
1987,21,38.51354377
1987,22,38.99645892
1987,23,37.8190725
1987,24,39.52823354
1987,25,38.51606426
1987,26,39.3463043
1987,27,37.6475261
1987,28,38.43403283
1987,29,39.12993803
1987,30,38.45082827
1987,31,38.39014279
1987,32,37.88228799
1987,33,39.03866186
1987,34,39.09674195
1987,35,39.06638116
1987,36,38.26329231
1987,37,39.0150318
1987,38,38.84146105
1987,39,38.13553042
1987,40,37.11089682
1987,41,38.35811648
1987,42,38.28539618
1987,43,38.58056872
1987,44,38.58083705
1987,45,38.05091694
1987,46,39.0860272
1987,47,37.95231712
1987,48,38.89522901
1987,49,38.55285592
1987,50,39.01752619
1987,51,38.40128871
1987,52,39.11350346
1987,53,38.70381406
1988,1,39.4942366
1988,2,38.50367079
1988,3,38.83154348
1988,4,37.9051461
1988,5,38.91139546
1988,6,38.70958394
1988,7,38.28446553
1988,8,38.32466896
1988,9,38.56244282
1988,10,38.9133959
1988,11,38.56462303
1988,12,37.79329102
1988,13,38.34943005
1988,14,39.57238456
1988,15,39.00233595
1988,16,37.90004606
1988,17,38.01906257
1988,18,38.67956656
1988,19,38.68856974
1988,20,37.83286486
1988,21,39.17161845
1988,22,38.78856877
1988,23,38.55540028
1988,24,38.29073909
1988,25,38.76483713
1988,26,38.65077139
1988,27,38.73013138
1988,28,39.65468048
1988,29,38.79308892
1988,30,38.86663826
1988,31,39.01604052
1988,32,39.11174319
1988,33,39.56142112
1988,34,39.21175713
1988,35,38.78793377
1988,36,39.19858156
1988,37,38.49787686
1988,38,39.11181924
1988,39,38.0015083
1988,40,39.31568135
1988,41,38.57420389
1988,42,38.7704949
1988,43,39.07012432
1988,44,38.34236253
1988,45,39.06976251
1988,46,39.0380034
1988,47,38.96630608
1988,48,37.80701425
1988,49,38.88423041
1988,50,38.76300696
1988,51,38.45224131
1988,52,39.15892193
1988,53,37.69875776
1989,1,38.93457137
1989,2,38.75130637
1989,3,38.89219331
1989,4,38.70613585
1989,5,38.60630481
1989,6,38.77307692
1989,7,38.24699544
1989,8,38.37672282
1989,9,38.19274611
1989,10,39.20078986
1989,11,38.28055783
1989,12,39.1344355
1989,13,38.64337349
1989,14,38.19109076
1989,15,38.66091729
1989,16,37.94152692
1989,17,38.53776562
1989,18,38.7776607
1989,19,39.38242793
1989,20,38.41507496
1989,21,38.48143026
1989,22,38.61549647
1989,23,39.51126863
1989,24,38.89366992
1989,25,38.94332373
1989,26,38.89730135
1989,27,39.15315488
1989,28,39.32005004
1989,29,39.03506994
1989,30,39.52553277
1989,31,38.46326668
1989,32,39.38859715
1989,33,39.2761811
1989,34,39.9207081
1989,35,38.59775087
1989,36,39.25021061
1989,37,39.52205387
1989,38,38.60685914
1989,39,38.21298174
1989,40,38.62095238
1989,41,39.33490566
1989,42,38.85789015
1989,43,39.56986398
1989,44,38.4418693
1989,45,38.86995869
1989,46,39.64480874
1989,47,38.64427025
1989,48,39.22152803
1989,49,38.66653659
1989,50,38.83734115
1989,51,38.64808802
1989,52,39.59977868
1990,1,39.47373156
1990,2,39.19659347
1990,3,38.76191422
1990,4,39.35319307
1990,5,38.50408315
1990,6,38.46892655
1990,7,38.76660682
1990,8,38.42225927
1990,9,39.1031941
1990,10,39.02223489
1990,11,38.35802469
1990,12,38.40637046
1990,13,38.00745287
1990,14,38.75562372
1990,15,39.52209558
1990,16,39.62657403
1990,17,38.13741722
1990,18,38.14075839
1990,19,39.52386473
1990,20,38.32817797
1990,21,38.57861511
1990,22,38.72224739
1990,23,39.39160708
1990,24,39.3787549
1990,25,39.44525414
1990,26,39.12932138
1990,27,39.00452117
1990,28,39.45178336
1990,29,38.97680624
1990,30,39.27748154
1990,31,38.96853511
1990,32,39.58428364
1990,33,39.78767773
1990,34,39.43935671
1990,35,38.83221066
1990,36,38.8619403
1990,37,38.94107779
1990,38,39.09633279
1990,39,39.75308642
1990,40,38.24165029
1990,41,39.24985081
1990,42,39.40489994
1990,43,38.92701567
1990,44,38.46306069
1990,45,39.00783173
1990,46,38.42576711
1990,47,39.30506033
1990,48,39.04985549
1990,49,38.55719237
1990,50,38.62679337
1990,51,39.0575631
1990,52,39.90966576
1991,1,39.43647235
1991,2,39.04977664
1991,3,39.02231878
1991,4,39.32014388
1991,5,38.4949975
1991,6,38.782988
1991,7,38.78247958
1991,8,39.05619875
1991,9,39.01840491
1991,10,38.69833436
1991,11,38.08431953
1991,12,38.19173103
1991,13,38.83175173
1991,14,39.00370209
1991,15,38.62469301
1991,16,37.97678876
1991,17,37.6369863
1991,18,37.71601674
1991,19,38.54715815
1991,20,38.38483771
1991,21,38.54336562
1991,22,39.13322185
1991,23,39.23685318
1991,24,39.06775934
1991,25,39.18957442
1991,26,39.26410741
1991,27,39.97322026
1991,28,39.58479789
1991,29,38.98067526
1991,30,39.31153184
1991,31,38.83666143
1991,32,38.75777778
1991,33,39.87129841
1991,34,39.3762605
1991,35,39.14744718
1991,36,38.65871691
1991,37,39.12581037
1991,38,39.04852617
1991,39,39.47287121
1991,40,38.18639798
1991,41,39.33940774
1991,42,38.40953839
1991,43,38.9517093
1991,44,38.98887765
1991,45,38.79197656
1991,46,39.6239709
1991,47,38.97857004
1991,48,39.17342298
1991,49,38.39633581
1991,50,38.98787035
1991,51,38.85610963
1991,52,39.70638443
1992,1,39.69339623
1992,2,39.25425979
1992,3,39.7091804
1992,4,38.91879131
1992,5,39.61813842
1992,6,39.11181796
1992,7,38.38452088
1992,8,38.41550956
1992,9,38.85679012
1992,10,39.20218138
1992,11,38.55993564
1992,12,38.12782341
1992,13,38.52582576
1992,14,38.64236958
1992,15,39.26475376
1992,16,38.82091318
1992,17,38.56346592
1992,18,37.94483294
1992,19,39.15637352
1992,20,38.91207002
1992,21,38.51561782
1992,22,39.60364515
1992,23,38.56232227
1992,24,38.49740933
1992,25,38.64260009
1992,26,38.67618587
1992,27,38.74085438
1992,28,38.24994127
1992,29,39.4814984
1992,30,39.50881157
1992,31,38.434681
1992,32,39.00837989
1992,33,39.03385537
1992,34,39.48914746
1992,35,39.58995277
1992,36,38.80563632
1992,37,39.33620871
1992,38,39.19170743
1992,39,39.07991803
1992,40,38.87795276
1992,41,38.65462325
1992,42,38.45004363
1992,43,39.31831538
1992,44,39.4812856
1992,45,39.04336735
1992,46,39.20496306
1992,47,39.14609433
1992,48,38.45157549
1992,49,38.77973568
1992,50,38.91981918
1992,51,39.0622084
